IDCliente,FechaReview,Calificacion,IDProducto
1,2023-09-24,5,24
2,2023-03-18,1,16
3,2023-12-22,3,46
4,2023-03-26,5,10
5,2023-03-04,2,34
6,2023-11-01,1,46
7,2023-12-02,2,35
8,2023-06-24,3,41
9,2023-09-26,1,23
10,2023-02-15,4,30
11,2023-08-21,5,26
12,2023-03-25,5,41
13,2023-09-07,3,1
14,2023-05-13,5,41
15,2023-10-13,4,39
16,2023-06-23,2,11
17,2023-05-01,4,14
18,2023-04-19,3,9
19,2023-02-06,1,25
20,2023-04-10,3,10
21,2023-11-12,4,48
22,2023-02-20,2,29
23,2023-08-20,5,4
24,2023-09-01,5,42
25,2023-06-14,1,24
26,2023-04-27,4,22
27,2023-01-22,1,17
28,2023-02-11,2,15
29,2023-01-06,1,7
30,2023-04-17,5,31
31,2023-01-08,3,1
32,2023-08-28,2,45
33,2023-09-26,4,31
34,2023-08-05,4,40
35,2023-11-15,3,40
36,2023-03-30,4,6
37,2023-01-06,4,29
38,2023-06-13,3,29
39,2023-03-26,4,24
40,2023-05-30,5,35
41,2023-11-13,2,4
42,2023-09-19,2,37
43,2023-09-11,2,7
44,2023-01-19,4,48
45,2023-08-08,5,34
46,2023-04-13,4,34
47,2023-01-16,1,1
48,2023-12-12,2,44
49,2023-09-08,2,18
50,2023-10-16,5,46
51,2023-07-08,3,17
52,2023-11-04,3,15
53,2023-10-02,3,30
54,2023-04-13,3,13
55,2023-08-04,4,4
56,2023-05-13,2,16
57,2023-12-02,4,46
58,2023-12-10,3,41
59,2023-02-06,2,47
60,2023-04-05,1,41
61,2023-01-14,2,29
62,2023-07-21,4,37
63,2023-03-19,5,49
64,2023-07-18,4,7
65,2023-10-19,2,45
66,2023-04-08,5,49
67,2023-11-25,4,45
68,2023-12-13,1,15
69,2023-01-17,5,36
70,2023-02-06,3,22
71,2023-03-24,2,15
72,2023-04-06,1,48
73,2023-12-24,1,31
74,2023-06-01,4,14
75,2023-07-13,4,48
76,2023-11-22,3,7
77,2023-10-04,3,15
78,2023-04-04,2,39
79,2023-03-04,4,5
80,2023-02-15,4,15
81,2023-12-24,1,27
82,2023-04-28,2,3
83,2023-06-13,3,49
84,2023-09-12,5,29
85,2023-12-16,5,17
86,2023-05-12,1,44
87,2023-01-06,2,39
88,2023-03-03,1,41
89,2023-01-11,4,3
90,2023-05-05,3,14
91,2023-12-09,4,49
92,2023-03-07,2,13
93,2023-06-22,4,19
94,2023-08-05,2,21
95,2023-11-04,1,3
96,2023-04-27,4,28
97,2023-05-17,2,39
98,2023-01-29,3,45
99,2023-10-28,3,17
100,2023-04-27,2,47
